,name,party,primary_sponsored_bills_passed,primary_sponsored_bills_count,primary_sponsored_bills_avg,co_sponsored_bills_avg,co_sponsored_bills_count,co_sponsored_bills_passed,committee_sponsor,people_id
0,Melony Griffith,D,13,13,1.0,0.6041666666666666,48,29,0,4664
1,Maggie McIntosh,D,5,5,1.0,0.43478260869565216,69,30,0,4649
2,Jerry Clark,R,4,4,1.0,0.15714285714285714,70,11,0,19026
3,Charles Otto,R,4,4,1.0,0.13846153846153847,65,9,0,12078
4,Heather Bagnall,D,3,3,1.0,0.5714285714285714,105,60,0,20588
5,Jesse Pippy,R,3,3,1.0,0.3103448275862069,29,9,0,20534
6,Andrea Harrison,D,1,1,1.0,0.4883720930232558,43,21,0,21279
7,Brian Chisholm,R,1,1,1.0,0.3739130434782609,115,43,0,20530
8,Jessica Feldmark,D,1,1,1.0,0.4352941176470588,85,37,0,20860
9,Courtney Watson,D,1,1,1.0,0.44,50,22,0,20857
10,Adrienne Jones,D,5,6,0.8333333333333334,0.5,64,32,0,4607
11,Sarah Elfreth,D,8,10,0.8,0.5517241379310345,87,48,0,20685
12,Shane Pendergrass,D,4,5,0.8,0.6538461538461539,78,51,0,4635
13,Ben Barnes,D,12,16,0.75,0.3939393939393939,66,26,0,4583
14,Shelly Hettleman,D,9,12,0.75,0.44680851063829785,141,63,0,17377
15,Edith Patterson,D,3,4,0.75,0.39130434782608703,92,36,0,17434
16,Brian Feldman,D,16,22,0.7272727272727273,0.5739130434782609,115,66,0,4575
17,Craig Zucker,D,8,11,0.7272727272727273,0.5666666666666667,90,51,0,11975
18,Nancy King,D,9,13,0.6923076923076923,0.5625,64,36,0,4718
19,Anne Kaiser,D,4,6,0.6666666666666666,0.4716981132075472,53,25,0,4588
20,Malcolm Augustine,D,4,6,0.6666666666666666,0.5666666666666667,60,34,0,20865
21,Steve Johnson,D,2,3,0.6666666666666666,0.5617977528089888,89,50,0,20965
22,Mike Rogers,D,2,3,0.6666666666666666,0.19444444444444445,36,7,0,20592
23,Ariana Kelly,D,7,11,0.6363636363636364,0.4503311258278146,151,68,0,11634
24,Joseline PenaMelnyk,D,5,8,0.625,0.4965034965034965,143,71,0,4561
25,Bryan Simonaire,R,5,8,0.625,0.2241379310344828,58,13,0,4682
26,Lorig Charkoudian,D,6,10,0.6,0.3445378151260504,119,41,0,20858
27,Kumar Barve,D,3,5,0.6,0.5087719298245614,57,29,0,4536
28,William Ferguson,D,10,17,0.5882352941176471,0.6447368421052632,76,49,0,11453
29,Luke Clippinger,D,4,7,0.5714285714285714,0.55,20,11,0,11447
30,Stephanie Smith,D,4,7,0.5714285714285714,0.3760683760683761,117,44,0,21255
31,Cheryl Kagan,D,11,20,0.55,0.5737704918032787,61,35,0,17313
32,Paul Pinsky,D,14,26,0.5384615384615384,0.5087719298245614,57,29,0,4725
33,Adelaide Eckardt,R,11,22,0.5,0.2735849056603773,106,29,0,4549
34,Katie Hester,D,5,10,0.5,0.5818181818181818,55,32,0,20956
35,Julie Palakovich Carr,D,3,6,0.5,0.3609022556390977,133,48,0,20794
36,Charlotte Crutchfield,D,3,6,0.5,0.4487179487179487,78,35,0,20867
37,Jason Gallion,R,3,6,0.5,0.17333333333333334,75,13,0,20532
38,Lesley Lopez,D,2,4,0.5,0.2875,80,23,0,20793
39,Pamela Beidle,D,8,17,0.4705882352941176,0.5263157894736842,57,30,0,4527
40,Douglas Peters,D,7,15,0.4666666666666667,0.4141414141414141,99,41,0,4679
41,Andrew Cassilly,R,6,13,0.4615384615384616,0.3148148148148148,54,17,0,17245
42,Dereck Davis,D,5,11,0.4545454545454545,0.4090909090909091,44,18,0,4659
43,Benjamin Kramer,D,12,27,0.4444444444444444,0.4925373134328358,67,33,0,4597
44,George Edwards,R,7,16,0.4375,0.28,75,21,0,4694
45,Ronald Young,D,13,30,0.43333333333333335,0.4393939393939394,132,58,0,11711
46,Antonio Hayes,D,14,33,0.42424242424242425,0.5208333333333334,96,50,0,17321
47,David Fraserhidalgo,D,5,12,0.4166666666666667,0.3614457831325301,83,30,0,16100
48,Wendell Beitzel,R,5,12,0.4166666666666667,0.21568627450980396,51,11,0,4528
49,Cory McCray,D,8,20,0.4,0.5230769230769231,65,34,0,17322
50,Robbyn Lewis,D,4,10,0.4,0.4423076923076923,208,92,0,18731
51,Warren Miller,R,4,10,0.4,0.19047619047619047,42,8,0,11771
52,Ken Kerr,D,2,5,0.4,0.6444444444444445,90,58,0,20792
53,Jeff Ghrist,R,2,5,0.4,0.24489795918367346,49,12,0,17399
54,Brooke Lierman,D,7,18,0.3888888888888889,0.4583333333333333,144,66,0,17237
55,Delores Kelley,D,10,26,0.38461538461538464,0.5161290322580645,62,32,0,4711
56,Erek Barron,D,9,25,0.36,0.5071428571428571,140,71,0,17319
57,Joanne Benson,D,6,17,0.35294117647058826,0.4148936170212766,94,39,0,4562
58,Geraldine ValentinoSmith,D,7,20,0.35,0.42857142857142855,70,30,0,12105
59,Nick Mosby,D,8,23,0.3478260869565217,0.3779527559055118,127,48,0,19213
60,Vanessa Atterbeary,D,5,15,0.3333333333333333,0.4588235294117647,85,39,0,17420
61,Jheanelle Wilkins,D,5,15,0.3333333333333333,0.3576158940397351,151,54,0,19199
62,Marc Korman,D,4,12,0.3333333333333333,0.38333333333333336,120,46,0,17401
63,Justin Ready,R,4,12,0.3333333333333333,0.2777777777777778,72,20,0,11972
64,Sheree SampleHughes,D,3,9,0.3333333333333333,0.6039603960396039,101,61,0,17435
65,Michele Guyton,D,3,9,0.3333333333333333,0.4567901234567901,81,37,0,20861
66,Sara Love,D,2,6,0.3333333333333333,0.375,104,39,0,20862
67,Jon Cardin,D,2,6,0.3333333333333333,0.4745762711864407,59,28,0,4598
68,Jared Solomon,D,2,6,0.3333333333333333,0.4098360655737705,122,50,0,20796
69,Wanika Fisher,D,2,6,0.3333333333333333,0.36936936936936937,111,41,0,20863
70,Carol Krimm,D,2,6,0.3333333333333333,0.4716981132075472,53,25,0,17236
71,Diana Fennell,D,1,3,0.3333333333333333,0.3711340206185567,97,36,0,17320
72,Ron Watson,D,1,3,0.3333333333333333,0.4615384615384616,52,24,0,20934
73,Thomas Miller,D,17,52,0.3269230769230769,0.75,20,15,0,4700
74,William Smith,D,13,40,0.325,0.4961240310077519,129,64,0,17171
75,Susan Lee,D,12,37,0.32432432432432434,0.5,124,62,0,4626
76,Michael Busch,D,16,50,0.32,0.7272727272727273,11,8,0,4569
77,Nicholaus Kipke,R,5,16,0.3125,0.3898305084745763,118,46,0,4606
78,Mary Carozza,R,4,13,0.3076923076923077,0.25675675675675674,74,19,0,17422
79,Guy Guzzone,D,7,23,0.3043478260869565,0.4705882352941176,136,64,0,4636
80,Shirley NathanPulliam,D,7,23,0.3043478260869565,0.4505494505494506,91,41,0,4590
81,Eric Luedtke,D,3,10,0.3,0.4263565891472868,129,55,0,11974
82,Ned Carey,D,3,10,0.3,0.39130434782608703,46,18,0,17232
83,Susan Krebs,R,4,14,0.2857142857142857,0.32432432432432434,148,48,0,4629
84,Keith Haynes,D,4,14,0.2857142857142857,0.4307692307692308,65,28,0,4643
85,J.B. Jennings,R,4,14,0.2857142857142857,0.28378378378378377,74,21,0,4596
86,Jay Jacobs,R,2,7,0.2857142857142857,0.17142857142857146,70,12,0,11449
87,Benjamin Brooks,D,2,7,0.2857142857142857,0.4871794871794872,78,38,0,17375
88,Kriselda Valderrama,D,2,7,0.2857142857142857,0.42028985507246375,69,29,0,4534
89,Arthur Ellis,D,2,7,0.2857142857142857,0.5375,80,43,0,20955
90,Clarence Lam,D,12,44,0.2727272727272727,0.5360824742268041,97,52,0,17170
91,David Moon,D,6,22,0.2727272727272727,0.2840236686390533,169,48,0,17238
92,Stephen Hershey,R,6,22,0.2727272727272727,0.3461538461538461,78,27,0,11448
93,Eric Ebersole,D,4,15,0.26666666666666666,0.3826086956521739,115,44,0,17234
94,C.T. Wilson,D,4,15,0.26666666666666666,0.4390243902439024,41,18,0,12163
95,Michael Hough,R,5,19,0.2631578947368421,0.3372093023255814,86,29,0,11769
96,Jeff Waldstreicher,D,7,27,0.25925925925925924,0.5060240963855421,83,42,0,4553
97,Charles Sydnor,D,4,16,0.25,0.3636363636363637,99,36,0,17380
98,Christopher Adams,R,4,16,0.25,0.18333333333333326,60,11,0,17398
99,Stephen Lafferty,D,3,12,0.25,0.41791044776119396,67,28,0,4577
100,Kevin Hornberger,R,3,12,0.25,0.19696969696969696,132,26,0,17400
101,Kirill Reznik,D,3,12,0.25,0.4,70,28,0,4609
102,Emily Shetty,D,2,8,0.25,0.3525179856115108,139,49,0,20795
103,Michael Jackson,D,2,8,0.25,0.4024390243902439,82,33,0,17235
104,Jack Bailey,R,2,8,0.25,0.22666666666666666,75,17,0,20529
105,Harry Bhandari,D,1,4,0.25,0.6545454545454545,55,36,0,20790
106,Steven Arentz,R,1,4,0.25,0.1506849315068493,73,11,0,16083
107,Brian Crosby,D,1,4,0.25,0.3902439024390244,41,16,0,20932
108,Talmadge Branch,D,1,4,0.25,0.5151515151515151,33,17,0,4602
109,Dana Stein,D,4,17,0.2352941176470588,0.4605263157894737,76,35,0,4627
110,Karen Young,D,3,13,0.2307692307692308,0.5855855855855856,111,65,0,17248
111,Kathleen Dumais,D,6,27,0.2222222222222222,0.4492753623188406,69,31,0,4580
112,Bonnie Cullison,D,4,18,0.2222222222222222,0.5363636363636364,110,59,0,11768
113,Seth Howard,R,2,9,0.2222222222222222,0.14893617021276595,47,7,0,17324
114,Alice Cain,D,2,9,0.2222222222222222,0.5131578947368421,76,39,0,20590
115,Pamela Queen,D,2,9,0.2222222222222222,0.39130434782608703,69,27,0,17917
116,Jay Walker,D,2,9,0.2222222222222222,0.5641025641025641,39,22,0,4646
117,Alonzo Washington,D,5,23,0.21739130434782608,0.4022988505747127,87,35,0,15140
118,Katherine Klausmeier,D,9,43,0.20930232558139536,0.5,76,38,0,4686
119,Terri Hill,D,4,20,0.2,0.5546875,128,71,0,17167
120,Anne Healey,D,2,10,0.2,0.472972972972973,74,35,0,4624
121,Edward Reilly,R,2,10,0.2,0.42372881355932196,59,25,0,4728
122,Obie Patterson,D,2,10,0.2,0.4936708860759494,79,39,0,20866
123,Mary Lehman,D,1,5,0.2,0.3559322033898305,118,42,0,20591
124,Paul Corderman,R,1,5,0.2,0.17647058823529413,102,18,0,19527
125,Chris West,R,6,32,0.1875,0.3615384615384615,130,47,0,17243
126,Mary Washington,D,3,16,0.1875,0.4551724137931034,145,66,0,11917
127,Jazz Lewis,D,2,11,0.18181818181818185,0.3679245283018868,106,39,0,19271
128,Susan McComas,R,1,6,0.16666666666666666,0.1951219512195122,123,24,0,4641
129,Mike Mckay,R,1,6,0.16666666666666666,0.21686746987951808,83,18,0,17402
130,Jill Carter,D,7,43,0.16279069767441862,0.5104166666666666,96,49,0,4584
131,Alfred Carr,D,2,13,0.15384615384615385,0.5,112,56,0,4547
132,Cheryl Glenn,D,4,27,0.14814814814814814,0.42105263157894735,76,32,0,4544
133,Matt Morgan,R,1,7,0.14285714285714285,0.3611111111111111,108,39,0,17239
134,Dan Cox,R,2,16,0.125,0.2839506172839506,81,23,0,20531
135,Robert Zirkin,D,3,25,0.12,0.6190476190476191,42,26,0,4713
136,William Wivell,R,1,9,0.1111111111111111,0.1891891891891892,37,7,0,17669
137,Haven Shoemaker,R,1,9,0.1111111111111111,0.17272727272727273,110,19,0,17427
138,Samuel Rosenberg,D,3,29,0.10344827586206896,0.651685393258427,89,58,0,4581
139,Michael Malone,R,1,10,0.1,0.2323232323232323,99,23,0,17668
140,Teresa Reilly,R,1,11,0.09090909090909093,0.18181818181818185,99,18,0,17426
141,Pat Young,D,1,11,0.09090909090909093,0.4880952380952381,84,41,0,17249
142,Johnny Salling,R,1,12,0.08333333333333333,0.25287356321839083,87,22,0,17246
143,Marvin Holmes,D,1,13,0.07692307692307693,0.3333333333333333,63,21,0,4623
144,Julian Ivey,D,1,15,0.06666666666666668,0.375886524822695,141,53,0,20791
145,Robin Grammer,R,1,18,0.05555555555555555,0.2692307692307692,52,14,0,17423
146,James Rosapepe,D,1,23,0.043478260869565216,0.4747474747474748,99,47,0,4731
147,Andrew Serafini,R,1,27,0.037037037037037035,0.2753623188405797,69,19,0,4650
148,Neil Parrott,R,0,16,0.0,0.09230769230769233,65,6,0,12189
149,April Rose,R,0,12,0.0,0.2043010752688172,93,19,0,17670
150,Bob Cassilly,R,0,11,0.0,0.2835820895522388,67,19,0,17244
151,Jason Buckel,R,0,10,0.0,0.21666666666666667,120,26,0,17231
152,Mary Ann Lisanti,D,0,10,0.0,0.4305555555555556,72,31,0,17442
153,Mark Chang,D,0,9,0.0,0.3815789473684211,76,29,0,17233
154,Frank Conaway,D,0,8,0.0,0.5,58,29,0,4531
155,Bob Long,R,0,8,0.0,0.2,50,10,0,17424
156,Johnny Mautz,R,0,8,0.0,0.1746031746031746,63,11,0,17425
157,Vaughn Stewart,D,0,7,0.0,0.3205128205128205,156,50,0,20797
158,Kathy Szeliga,R,0,7,0.0,0.3274336283185841,113,37,0,11766
159,Gabriel Acevero,D,0,7,0.0,0.30656934306569344,137,42,0,20789
160,Mark Fisher,R,0,7,0.0,0.1,30,3,0,11554
161,Ric Metzgar,R,0,6,0.0,0.4322033898305085,118,51,0,17403
162,Joseph Boteler,R,0,6,0.0,0.22,50,11,0,4614
163,Barrie Ciliberti,R,0,5,0.0,0.14705882352941174,68,10,0,17553
164,Melissa Wells,D,0,5,0.0,0.4252873563218391,87,37,0,20864
165,Sid Saab,R,0,5,0.0,0.38333333333333336,120,46,0,17242
166,Veronica Turner,D,0,5,0.0,0.4415584415584416,77,34,0,4554
167,James Gilchrist,D,0,4,0.0,0.4411764705882353,68,30,0,4654
168,Sandy Bartlett,D,0,4,0.0,0.3636363636363637,88,32,0,20589
169,Darryl Barnes,D,0,4,0.0,0.4666666666666667,60,28,0,17325
170,Richard Impallaria,R,0,4,0.0,0.18181818181818185,22,4,0,4638
171,Tony Bridges,D,0,3,0.0,0.4473684210526316,76,34,0,20856
172,Curtis Anderson,D,0,3,0.0,0.3333333333333333,51,17,0,4582
173,Trent Kittleman,R,0,3,0.0,0.1746031746031746,63,11,0,17378
174,Lily Qi,D,0,3,0.0,0.4,70,28,0,20966
175,Carl Anderton,R,0,2,0.0,0.20454545454545456,44,9,0,17419
176,Eric Bromwell,D,0,2,0.0,0.35897435897435903,39,14,0,4617
177,Nino Mangione,R,0,2,0.0,0.05357142857142857,56,3,0,20933
178,Dalya Attar,D,0,1,0.0,0.4117647058823529,34,14,0,20930
179,Regina Boyce,D,0,1,0.0,0.5,86,43,0,20855
180,Nick Charles,D,0,1,0.0,0.65625,96,63,0,20931
181,Wayne Hartman,R,0,1,0.0,0.23728813559322035,59,14,0,20533
182,Tawanna Gaines,D,0,1,0.0,0.490566037735849,53,26,0,4660
183,Elizabeth Proctor,D,0,1,0.0,0.42857142857142855,56,24,0,17833
184,Lauren Arikan,R,0,1,0.0,0.24468085106382975,94,23,0,20964
185,Jay Jalisi,D,0,0,0.0,0.3555555555555556,90,32,0,17169
186,Debra Davis,D,0,0,0.0,0.4571428571428571,35,16,0,20859
187,Jen Terrasa,D,0,0,0.0,0.3877551020408163,98,38,0,20868
